year,importer_country,supplier_country,product_code,product_description,trade_flow,trade_value_usd,quantity_kg,avg_price_per_kg,product_group
2022,Germany,Namibia,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,149257.741,72900.0,2.047431289437586,Frozen hake
2022,Germany,Netherlands,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,283852.099,59173.0,4.796986784513207,Frozen hake
2022,Germany,Norway,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,914.873,59.0,15.506322033898305,Frozen hake
2022,Germany,Peru,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,278942.068,66887.561,4.170313042211242,Frozen hake
2022,Germany,Poland,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,187024.848,30848.0,6.062786825726141,Frozen hake
2022,Germany,Portugal,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,128530.146,27691.0,4.641585569318551,Frozen hake
2022,Germany,Romania,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1472.903,490.0,3.0059244897959183,Frozen hake
2022,Germany,South Africa,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,948204.595,118811.0,7.980781198710557,Frozen hake
2022,Germany,Spain,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,454953.495,163525.0,2.78216477602813,Frozen hake
2022,Germany,USA,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,47769.296,23587.0,2.02523830923814,Frozen hake
2022,Germany,Ukraine,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,5536.888,2206.0,2.5099220308250225,Frozen hake
2022,Germany,Uruguay,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1982.225,325.0,6.099153846153846,Frozen hake
2022,Germany,Austria,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,51013.708,15510.0,3.2890849774339137,Frozen mackerel
2022,Germany,China,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,154.597,36.0,4.294361111111112,Frozen mackerel
2022,Germany,Denmark,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,327807.306,148763.0,2.203554015447389,Frozen mackerel
2022,Germany,Faroe Isds,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,9450642.721,5346790.0,1.7675357964311298,Frozen mackerel
2022,Germany,France,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3013.575,1242.0,2.426388888888889,Frozen mackerel
2022,Germany,Greece,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3321.71,394.0,8.430736040609137,Frozen mackerel
